Time,Temperature,Light
398,27,1008
399,26,1008
400,27,1008
401,27,1008
402,26,1008
403,26,1008
404,26,1009
405,26,1008
406,27,1008
407,27,1008
408,27,1008
409,27,1008
410,27,1008
411,27,1008
412,27,1008
413,27,1008
414,27,1008
415,27,1008
416,27,1008
417,27,1008
418,27,1008
419,27,1008
420,26,1008
421,26,1008
422,26,1008
423,26,1008
424,26,1008
425,26,1008
426,26,1008
427,26,1008
428,26,1008
429,26,1008
430,26,1008
431,26,1008
432,26,1008
433,26,1008
434,26,1008
435,26,1008
436,26,1008
437,26,1008
438,26,1008
439,26,1008
440,26,1009
441,26,1008
442,26,1008
443,26,1008
444,26,1008
445,26,1008
446,26,1008
447,26,1008
448,26,1008
449,26,1008
450,26,1008
451,26,1008
452,26,1008
453,26,1008
454,26,1008
455,26,1008
456,26,1008
457,26,1008
458,26,1009
459,26,1008
460,26,1008
461,26,1008
462,26,1008
463,26,1009
464,26,1008
465,26,1008
466,26,1008
467,26,1008
468,26,1008
469,26,1008
470,26,1008
471,26,1008
472,26,1008
473,26,1008
474,26,1008
475,26,1008
476,26,1008
477,26,1008
478,26,1008
479,26,1008
480,26,1008
481,26,1008
482,26,1008
483,26,1009
484,26,1008
485,26,1008
486,26,1008
487,26,1008
488,26,1008
489,26,1008
490,26,1008
491,26,1008
492,26,1008
493,26,1008
494,26,1008
495,26,1008
496,26,1008
497,26,1008
498,25,1008
499,26,1008
500,26,1008
501,26,1008
502,26,1008
503,25,1008
504,26,1008
505,26,1008
506,26,1008
507,26,1008
508,26,1008
509,26,1008
510,26,1008
511,26,1008
512,26,1008
513,26,1008
514,26,1008
515,26,1008
516,26,1008
517,26,1008
518,26,1008
519,26,1008
520,26,1008
521,26,1009
522,25,1008
523,25,1008
524,25,1008
525,25,1008
526,25,1009
527,25,1008
528,25,1008
529,25,1008
530,25,1008
531,26,1008
532,25,1008
533,25,1009
534,26,1008
535,26,1008
536,26,1008
537,26,1008
538,25,1008
539,26,1008
540,25,1008
541,25,1008
542,26,1008
543,26,1008
544,26,1008
545,26,1009
546,26,1008
547,25,1008
548,25,1008
549,25,1008
550,26,1008
551,26,1008
552,26,1008
553,25,1008
554,25,1008
555,25,1008
556,25,1008
557,26,1008
558,25,1008
559,25,1008
560,26,1008
561,25,1008
562,26,1008
563,26,1008
564,25,1008
565,25,1008
566,25,1009
567,25,1008
568,25,1008
569,25,1008
570,25,1008
571,25,1008
572,25,1008
573,25,1008
574,25,1008
575,25,1008
576,25,1008
577,25,1008
578,25,1008
579,25,1008
580,25,1008
581,25,1008
582,25,1009
583,25,1008
584,25,1009
585,25,1008
586,26,1008
587,25,1008
588,25,1008
589,26,1008
590,25,1008
591,25,1008
592,25,1008
593,25,1008
594,25,1008
595,25,1008
596,25,1008
597,25,1008
598,25,1008
599,25,1008
600,25,1008
601,25,1008
602,25,1008
603,25,1008
604,25,1008
605,25,1008
606,25,1008
607,25,1008
608,25,1008
609,25,1008
610,25,1008
611,25,1008
612,25,1008
613,25,1008
614,25,1008
615,25,1008
616,25,1008
617,25,1008
618,25,1009
619,25,1008
620,25,1008
621,25,1009
622,25,1009
623,25,1008
624,25,1008
625,25,1008
626,25,1008
627,25,1008
628,25,1008
629,25,1008
630,25,1008
631,25,1008
632,25,1008
633,25,1008
634,25,1008
635,25,1008
636,25,1008
637,25,1009
638,25,1009
639,25,1008
640,25,1008
641,25,1008
642,25,1008
643,25,1008
644,25,1008
645,25,1008
646,25,1008
647,25,1008
648,25,1008
649,25,1008
650,25,1008
651,25,1008
652,25,1008
653,25,1008
654,25,1008
655,25,1008
656,25,1008
657,25,1008
658,25,1008
659,25,1008
660,25,1008
661,25,1008
662,25,1008
663,25,1009
664,25,1008
665,25,1008
666,25,1008
667,25,1008
668,25,1008
669,25,1008
670,25,1008
671,25,1009
672,25,1008
673,25,1008
674,25,1009
675,25,1008
676,25,1008
677,25,1008
678,25,1008
679,25,1008
680,25,1008
681,25,1008
682,25,1008
683,25,1008
684,25,1008
685,25,1008
686,25,1008
687,25,1008
688,25,1008
689,25,1008
690,25,1008
691,25,1008
692,25,1008
693,25,1008
694,25,1008
695,25,1008
696,25,1008
697,25,1008
698,25,1008
699,25,1008
700,25,1009
701,25,1008
702,25,1008
703,25,1008
704,25,1008
705,25,1008
706,25,1008
707,25,1008
708,25,1008
709,25,1008
710,25,1008
711,25,1008
712,25,1008
713,25,1008
714,25,1008
715,25,1008
716,25,1008
717,25,1008
718,25,1008
719,25,1008
720,25,1008
721,25,1008
722,25,1008
723,25,1008
724,25,1008
725,25,1008
726,25,1008
727,25,1009
728,25,1008
729,25,1008
730,25,1008
731,25,1008
732,25,1008
733,25,1008
734,25,1008
735,25,1008
736,25,1008
737,25,1008
738,25,1008
739,25,1008
740,25,1008
741,25,1008
742,25,1009
743,25,1008
744,25,1009
